"Kod"	"Överordnad kod"	"Titel"	"Alternativ titel"	"Beskrivning"	"Innefattar"	"Utesluter"	"Anmärkning"	"Bedömningsfaktor"
"e255"	"e2"	"Vibration"	""	"Regelbunden eller oregelbunden rörelse fram och tillbaka av ett föremål eller en person, orsakat av en fysisk störning antingen inom- eller utomhus, såsom skakande, darrande, snabba ryckiga rörelser av saker, byggnader eller människor, på grund av hantering eller arbete med mindre eller större maskiner"	""	"naturkatastrofer (e230) t.ex. vibration eller skakning i jorden orsakad av jordbävning"	""	""
"e260"	"e2"	"Luft"	""	"Skiktet av gaser, som omger planeten jorden, vilket huvudsakligen består av kväve och syre"	""	"fuktighet (e2251); atmosfäriskt tryck (e2252)"	""	""
"e2600"	"e260"	"Luftkvalitet"	""	"Kännetecken för atmosfären (utanför byggnader) eller slutna luftområden (inom byggnader)"	"inomhus och utomhus luftkvalitet"	""	""	""
"e26000"	"e2600"	"Luftkvalitet inomhus"	""	"Luftens beskaffenhet inom byggnader eller slutna område såsom lukt, rök, föroreningar luftkonditionering (kontrollerad luftkvalitet) eller okontrollerad luftkvalitet"	""	""	""	""
"e26001"	"e2600"	"Luftkvalitet utomhus"	""	"Luftens beskaffenhet utanför byggnader eller inneslutna områden såsom lukt, rök, föroreningar ozonnivåer och andra kännetecken i atmosfären"	""	""	""	""
"e26008"	"e2608"	"Luftkvalitet, annan specificerad"	""	""	""	""	""	""
"e26009"	"e2609"	"Luftkvalitet, ospecificerad"	""	""	""	""	""	""
"e2608"	"e260"	"Luft, annan specificerad"	""	""	""	""	""	""
"e2609"	"e260"	"Luft, ospecificerad"	""	""	""	""	""	""
"e270"	"e2"	"Jord"	""	"Den blandning av mineral- eller organiskt material, på planeten jordens yta, som fungerar som ett naturligt ämne för tillväxt av markväxter"	""	"materiella tillgångar (e1651)"	""	""
"e2700"	"e270"	"Jordkvalitet"	""	"Jordens och markytans fysiska, kemiska, biologiska och radiologiska egenskaper och dess kapacitet att bibehålla växt- och djurproduktivitet, upprätthålla eller förbättra vatten- och luftkvaliteten samt stödja människors hälsa och boende"	""	""	""	""
"e2708"	"e270"	"Jord, annan specificerad"	""	""	""	""	""	""
"e2709"	"e270"	"Jord, ospecificerad"	""	""	""	""	""	""
"e298"	"e2"	"Naturmiljö och mänskligt skapade miljöförändringar, andra specificerade"	""	""	""	""	""	""
"e299"	"e2"	"Naturmiljö och mänskligt skapade miljöförändringar, ospecificerade"	""	""	""	""	""	""
"e3"	"e"	"Personligt stöd och personliga relationer"	""	"Detta kapitel handlar om människor eller djur som ger praktiskt fysiskt eller emotionellt stöd, uppfostran, skydd och hjälp och som har relationer till andra personer, i deras hem, på arbetsplatsen, skolan eller vid lek eller i andra avseenden av de dagliga aktiviteterna. Detta kapitel innefattar inte attityder hos den person eller de personer som ger stödet. Omgivningsfaktorn som beskrivs är inte personen eller djuret utan mängden fysiskt och emotionellt stöd som personen eller djuret ger"	""	""	""	""
"e310"	"e3"	"Stöd från närfamilj"	""	"Stöd som tillhandahålls av personer relaterade genom födsel, äktenskap eller andra relationer som erkänns i sin kultur som nära familjerelationer såsom makar, samboende, föräldrar, syskon, barn, fosterföräldrar, adoptivföräldrar och far- och morföräldrar"	""	"stöd från storfamilj eller utvidgad familj (e315); stöd från personer i underordnade positioner (e335); stöd från personliga vårdgivare och personliga assistenter (e340)"	""	""
"e315"	"e3"	"Stöd från storfamilj eller utvidgad familj"	""	"Stöd som tillhandahålls av personer som är relaterade genom släktskap eller äktenskap eller andra relationer som erkänns i sin kultur som utvidgad familj såsom fastrar, mostrar, farbröder, morbröder, syskonbarn, kusiner"	""	"stöd från närfamilj (e310)"	""	""
"e320"	"e3"	"Stöd från vänner"	""	"Stöd som tillhandahålls av personer som är nära vänner eller bekanta och där relationen karakteriseras av tillit och ömsesidigt stöd"	""	""	""	""
"e325"	"e3"	"Stöd från bekanta, kamrater, kollegor, grannar och personer i umgänget"	""	"Stöd som tillhandahålls av personer som känner varandra som bekanta, kamrater, kollegor, grannar och som man umgås med i arbete, skola eller på fritid eller andra livssammanhang, och som delar demografiska egenskaper som t.ex. ålder, kön, religiös tro eller etnicitet eller ägnar sig åt gemensamma intressen"	""	"stöd från service och tjänster i sammanslutningar och organisationer (e5550)"	""	""
"e330"	"e3"	"Stöd från personer i maktpositioner"	""	"Stöd som tillhandahålls av personer som har beslutsfattande ansvar för andra och som enligt sociala definitioner har inflytande eller makt, baserat på deras sociala, ekonomiska, kulturella eller religiösa roller i samhället såsom lärare, arbetsgivare, arbetsledare, religiösa ledare, ställföreträdande beslutsfattare, förmyndare, gode män"	""	""	""	""
"e335"	"e3"	"Stöd från personer i underordnade positioner"	""	"Stöd som tillhandahålls av personer vilka i sitt dagliga liv är påverkade av människor i maktpositioner i arbete, skola och andra situationer såsom studerande, arbetare och medlemmar i en religiös grupp"	""	"stöd från närfamilj (e310)"	""	""
"e340"	"e3"	"Stöd från personliga vårdgivare och personliga assistenter"	""	"Stöd som tillhandahålls av personer som ger tjänster som behövs för att hjälpa andra personer i deras dagliga aktiviteter och att klara av sitt arbete, utbildning eller andra livssituationer, stöd som ges antingen genom offentliga eller privata fonder eller på annan frivillig grund såsom hemtjänstpersonal, personliga assistenter, hjälp med transport, betald hjälp, barnflicka eller andra som fungerar som primära vårdgivare"	""	"stöd från närfamilj (e310); stöd från storfamilj eller utvidgad familj (e315); stöd från vänner (e320); service och tjänster för allmänna sociala stödinsatser (e5750); stöd från yrkesutövare inom hälso- och sjukvård (e355)"	""	""
"e345"	"e3"	"Stöd från okända personer"	""	"Stöd som tillhandahålls av personer som är obekanta och utan släktskap, eller som man ännu inte har någon relation eller kontakt med, såsom människor som är okända för personen men som delar livssituation med denne som t.ex. vikarierande lärare, medarbetare, vårdare"	""	""	""	""
"e350"	"e3"	"Stöd från husdjur"	""	"Stöd som tillhandahålls av djur som ger fysiskt, emotionellt eller psykologiskt stöd såsom sällskapsdjur (hundar, katter, fåglar, fiskar etc.) och djur för egen förflyttning och transport"	""	"djur (e2201); tillgångar (e165)"	""	""
"e355"	"e3"	"Stöd från yrkesutövare inom hälso- och sjukvård"	""	"Stöd som tillhandahålls av alla som utövar ett yrke inom hälso- och sjukvårdssystem såsom läkare, sjuksköterskor, sjukgymnaster, arbetsterapeuter, logopeder, audionomer, ortopedtekniker och kuratorer"	""	"stöd från andra yrkesutövare (e360)"	""	""
"e360"	"e3"	"Stöd från andra yrkesutövare"	""	"Stöd som tillhandahålls av alla som utövar ett yrke utanför hälso- och sjukvårdssystemet såsom advokater, socialarbetare, lärare, arkitekter eller formgivare"	""	"stöd från yrkesutövare inom hälso- och sjukvården (e355)"	""	""
"e398"	"e3"	"Personligt stöd och personliga relationer, andra specificerade"	""	""	""	""	""	""
"e398A"	"e398"	"Personligt stöd från person som vårdar eller stödjer en närstående"	""	"Stöd som tillhandahålls av personer som vårdar eller stödjer en närstående (enligt 5 kap. 10 § SoL)"	""	""	""	""
"e399"	"e3"	"Personligt stöd och personliga relationer, ospecificerade"	""	""	""	""	""	""
"e4"	"e"	"Attityder"	""	"Detta kapitel handlar om attityder i form av observerbara konsekvenser av seder, bruk, ideologier, värden, normer, uppfattningar om verkligheten och religiösa trosföreställningar. Dessa attityder påverkar personligt beteende och socialt liv på alla nivåer, från mellanmänskliga relationer, sociala sammanslutningar till politiska, ekonomiska och lagliga strukturer, som t.ex. personliga eller samhälleliga attityder till en persons trovärdighet och människovärde som kan motivera positiva och artiga eller negativa och diskriminerande konventioner (t.ex. stigmatisering, stereotypisering och marginalisering eller negligering av personen). De attityder som klassificeras är sådana som människor i omgivningen visar mot den person som beskrivs och är alltså inte personens egna. De individuella attityderna kategoriseras efter typ av relation i enlighet med kategoriindelningen i omgivningsfaktorer Kapitel 3. Värderingar och föreställningar kodas inte skiljt från attityder eftersom de antas vara pådrivande krafter bakom dem"	""	""	""	""
"e410"	"e4"	"Nära familjemedlemmars personliga attityder"	""	"Nära familjemedlemmars allmänna eller specifika åsikter och trosföreställningar om personen eller om andra saker (t.ex. sociala, politiska och ekonomiska frågor), som påverkar personligt beteende och handlingar"	""	""	""	""
"e415"	"e4"	"Personliga attityder hos medlemmar av den utvidgade familjen"	""	"Släktingars (medlemmar av den utvidgade familjen) allmänna eller specifika åsikter och trosföreställningar om personen eller om andra saker (t.ex. sociala, politiska och ekonomiska frågor), som påverkar personligt beteende eller handlingar"	""	""	""	""
"e420"	"e4"	"Vänners personliga attityder"	""	"Vänners allmänna och specifika åsikter eller föreställningar om personen eller andra saker (t.ex. sociala, politiska och ekonomiska frågor) som påverkar personligt beteende och handlingar"	""	""	""	""
"e425"	"e4"	"Personliga attityder bland bekanta, kamrater, kollegor, grannar och personer i umgängeskretsen"	""	"Allmänna eller specifika åsikter och föreställningar som bekanta, kamrater, kollegor, grannar och personer i umgängeskretsen har om personen eller andra saker (t.ex. sociala, politiska och ekonomiska frågor) som påverkar personligt beteende och handlingar"	""	""	""	""
"e430"	"e4"	"Personliga attityder hos personer i maktpositioner"	""	"Allmänna eller specifika åsikter och trosföreställningar som personer i maktpositioner har om personen eller om andra saker (t.ex. sociala, politiska och ekonomiska frågor) som påverkar personligt beteende och handlingar"	""	""	""	""
"e435"	"e4"	"Personliga attityder av personer i underordnade ställningar"	""	"Allmänna eller specifika åsikter och trosföreställningar hos personer i underordnade ställningar om personen eller till andra saker (t.ex. sociala, politiska och ekonomiska frågor) som påverkar personligt beteende och handlingar"	""	""	""	""
"e440"	"e4"	"Personliga attityder hos personliga vårdgivare och personliga assistenter"	""	"Allmänna och specifika åsikter och trosföreställningar hos personliga vårdgivare och personliga assistenter om personen eller om andra saker (t.ex. sociala, politiska och ekonomiska frågor) som påverkar personligt beteende och handlingar"	""	""	""	""
"e445"	"e4"	"Personliga attityder hos okända människor"	""	"Allmänna eller specifika åsikter och föreställningar hos okända människor om personen eller om andra saker (t.ex. sociala, politiska och ekonomiska frågor) som påverkar personligt beteende och handlingar"	""	""	""	""
"e450"	"e4"	"Personliga attityder hos yrkesutövare inom hälso- och sjukvården"	""	"Allmänna eller specifika åsikter och trosföreställningar hos yrkesutövare inom hälso- och sjukvården om personen eller om andra saker (t.ex. sociala, politiska och ekonomiska frågor) som påverkar personligt beteende och handlingar"	""	""	""	""
"e455"	"e4"	"Personliga attityder hos andra yrkesutövare"	""	"Allmänna eller specifika åsikter och trosföreställningar hos andra yrkesutövare om personen eller om andra saker (t.ex. sociala, politiska och ekonomiska frågor) som påverkar personligt beteende och handlingar"	""	""	""	""
"e460"	"e4"	"Samhälleliga attityder"	""	"Människors allmänna eller specifika åsikter och trosföreställningar inom en kultur, ett samhälle, subkultur eller annan social grupp om andra personer eller om andra sociala, politiska och ekonomiska frågor som kan påverka gruppbeteende eller personligt beteende och handlingar"	""	""	""	""
"e465"	"e4"	"Sociala normer, konventioner och ideologier"	""	"Seder, bruk, regler och abstrakta värdesystem och normativa föreställningar (t.ex. ideologier, normativa världsåskådningar och moralfilosofier) som uppstår inom sociala sammanhang och som påverkar eller skapar samhälleliga och individuella konventioner och beteenden såsom normer kring moral, etikett och religiöst beteende; religiös doktrin och därav följande normer och konventioner; normer som styr ritualer och sociala sammankomster"	""	""	""	""
"e498"	"e4"	"Attityder, andra specificerade"	""	""	""	""	""	""
"e499"	"e4"	"Attityder, ospecificerade"	""	""	""	""	""	""
"e5"	"e"	"Service, tjänster, system och policies"	"Samhällstjänster och regelverk"	"Detta kapitel handlar om: 1. Service och tjänster som utformats inom olika samhällssektorer erbjuder bidrag, organiserade program och verksamheter som är formgivna för att möta individuella behov. I service och tjänster är de människor som ger dessa tjänster innefattade. Tjänsterna kan vara offentliga, privata eller frivilliga och de kan vara upprättade på lokal, kommunal, regional, statlig, provinsiell, nationell eller internationell nivå av personer, föreningar, organisationer, förmedlingar eller styrorgan. Produkter som en tjänst tillhandahåller kan antingen vara allmänna eller anpassade och specialutformade. 2. System som omfattar administrativ kontroll och organiserade former och som är upprättade av lokala, regionala, nationella eller internationella styrorgan eller av andra erkända myndigheter. Dessa system har formgivits för att organisera och övervaka service och tjänster, som ger bidrag, strukturerade program och verksamheter inom olika samhällssektorer. 3. Policies grundade på regler, föreskrifter, avtal och standarder upprättade av lokala, regionala, nationella eller internationella styrorgan eller av andra erkända myndigheter. Policies styr och reglerar de system som organiserar, kontrollerar och har tillsyn över service, tjänster, ordnade program och andra aktiviteter inom olika samhällssektorer."	""	""	""	""
"e510"	"e5"	"Service, tjänster, system och policies för produktion av konsumtionsvaror"	"Samhällstjänster och regelverk för produktion av konsumtionsvaror"	"Service, tjänster, system och policy som reglerar och vidtar åtgärder för produktion av föremål och produkter som människor konsumerar och använder"	""	""	""	""
"e5100"	"e510"	"Service och tjänster för produktion av konsumtionsvaror"	""	"Service, tjänster och program för att samla, skapa, producera och tillverka konsumtionsvaror och produkter som t.ex. produkter och teknik för förflyttning, kommunikation, utbildning, transport, förvärvsarbete och hemarbete, innefattande personer som ger dessa tjänster"	""	"kommunikationsservice och kommunikationstjänster (e5350); service och tjänster för utbildning och yrkesförberedelse (e5850); Kapitel 1 Produkter och teknologi"	""	""
"e5101"	"e510"	"System för produktion av konsumtionsvaror"	""	"Administrativa kontroll- och tillsynssystem såsom regionala, nationella eller internationella standardiseringsorganisationer (t.ex. International Organisation for Standardization) och konsumentorgan som styr insamlandet, skapandet, produktionen och tillverkningen av konsumtionsvaror och produkter"	""	""	""	""
"e5102"	"e510"	"Policies för produktion av konsumtionsvaror"	""	"Lagstiftning, föreskrifter och standarder för att samla, skapa, producera och tillverka konsumtionsvaror och produkter som t.ex beträffande vilka standarder som skall antas"	""	""	""	""
"e5108"	"e510"	"Service, tjänster, system och policies för produktion av konsumtionsvaror, andra specificerade"	""	""	""	""	""	""
"e5109"	"e510"	"Service, tjänster, system och policies för produktion av konsumtionsvaror, ospecificerade"	""	""	""	""	""	""
"e515"	"e5"	"Service, tjänster, system och policies för arkitektur och konstruktion"	"Samhällstänster och regelverk för arkitektur och konstruktion"	"Service, tjänster, system och policies för utformning och konstruktion av offentliga och privata byggnader"	""	"service, tjänster, system och policies för planering av öppna områden (e520)"	""	""
"e5150"	"e515"	"Service och tjänster för arkitektur och konstruktion"	""	"Service, tjänster och program för utformning, konstruktion och bibehållande av bostadsbyggnader, kommersiella, industriella och offentliga byggnader såsom husbyggande, genomdrivandet av principer för design, byggnadsregler, föreskrifter och standarder, innefattande personer som ger denna service och dessa tjänster"	""	""	""	""
"e5151"	"e515"	"Arkitektur- och konstruktionssystem"	""	"Administrativa kontroll- och tillsynssystem som styr planering, utformning, konstruktion och bibehållande av bostadsbyggnader, kommersiella, industriella och offentliga byggnader såsom tillämpning och övervakning av byggnadsregler, konstruktionsstandarder, brandskydds- och säkerhetsstandarder"	""	""	""	""
"e5152"	"e515"	"Arkitektur- och konstruktionspolicies"	""	"Lagstiftning, föreskrifter och standarder som styr planering, utformning, konstruktion och bibehållande av bostadsbyggnader, kommersiella, industriella och offentliga byggnader såsom policies för byggnadsregler, konstruktionsstandarder, brandskydds- och säkerhetsstandarder"	""	""	""	""
"e5158"	"e515"	"Service, tjänster, system och policies för arkitektur och konstruktion, andra specificerade"	""	""	""	""	""	""
"e5159"	"e515"	"Service, tjänster, system och policies för arkitektur och konstruktion, ospecificerade"	""	""	""	""	""	""
"e520"	"e5"	"Service, tjänster, system och policies för planering av öppna områden"	"Samhällstjänster och regelverk för planering av öppna områden"	"Service, tjänster, system och policies som syftar till att planera, utveckla design och underhålla områden för allmänheten (t.ex. parker, skogar, stränder och våtmarker) och privata landområden med landsbygds-, förorts- eller tätortskaraktär"	""	"service, tjänster, system och policies för arkitektur och konstruktion (e515)"	""	""
"e5200"	"e520"	"Service och tjänster för planering av öppna områden"	""	"Service, tjänster och program som syftar till att planera, skapa och underhålla områden i tätort, förort, landsbygd, fritids-, naturvårds- och miljövårdsområden, öppna områden för möten och handel (affärscentra, torg och marknader) samt gång- och cykelvägar, innefattande personer som ger denna service och dessa tjänster"	""	"design, konstruktion, byggnadsteknik och byggnadsprodukter för allmänt bruk (e150) och för privat bruk (e155); produkter för markutveckling (e160)"	""	""
"e5201"	"e520"	"Planeringssystem för öppna områden"	""	"Administrativa kontroll- och tillsynssystem såsom för att implementera lokala, regionala och nationella planeringsbeslut, designregler, policyer för naturminnen och naturvård och miljövårdsprogram som styr planering, utformning, utveckling och bibehållande av öppna områden innefattande markområde på landsbygd, i förort och tätort, parker, naturvårdsområden och naturreservat"	""	""	""	""
"e5202"	"e520"	"Planeringspolicies för öppna områden"	""	"Lagstiftning, föreskrifter och standarder som styr planering, utformning, utveckling och bibehållande av öppna områden innefattande markområden på landsbygd, i förort och tätort, parker, naturvårdsområden och naturreservat som t.ex. lokala, regionala och nationella planeringsbeslut, regler för design, naturminnes- och naturvårdspolicies samt miljövårdspolicy"	""	""	""	""
"e5208"	"e520"	"Service, tjänster, system och policies för planering av öppna områden, andra specificerade"	""	""	""	""	""	""
"e5209"	"e520"	"Service, tjänster, system och policies för planering av öppna områden, ospecificerade"	""	""	""	""	""	""
"e525"	"e5"	"Service, tjänster, system och policies för bostäder"	"Samhällstjänster och regelverk för bostäder"	"Service, tjänster, system och policies som syftar till att förse människor med tak över huvudet, bostad eller husrum"	""	""	""	""
"e5250"	"e525"	"Bostadsservice och bostadstjänster"	""	"Service, tjänster och program som syftar till att lokalisera, förse och bibehålla hus eller husrum för personer att bo i såsom mäklarfirmor, bostadsorganisationer, härbärgen för hemlösa människor, innefattande personer som ger dessa tjänster"	""	""	""	""
"e5251"	"e525"	"Bostadssystem"	""	"Administrativa kontroll- och tillsynssystem som styr människors bostäder eller husrum såsom system för att implementera och övervaka policyer för boende"	""	""	""	""
"e5252"	"e525"	"Bostadspolicies"	""	"Lagstiftning, föreskrifter och standarder som styr människors bostäder eller husrum såsom lagstiftning och policies som bestämmer vem som kan komma i fråga för bostad eller husrum, policies beträffande statligt engagemang i att utveckla och bibehålla bostäder och policies beträffande hur och var bostäder utvecklas"	""	""	""	""
"e5258"	"e525"	"Service, tjänster, system och policies för bostäder, andra specificerade"	""	""	""	""	""	""
"e5259"	"e525"	"Service, tjänster, system och policies för bostäder, ospecificerade"	""	""	""	""	""	""
"e530"	"e5"	"Service, tjänster, system och policies för allmänna nyttigheter"	"Samhällstjänster och regelverk för allmänna nyttigheter"	"Service, tjänster, system och policies för att allmänt tillhandahålla nyttigheter såsom vatten, bränsle, elektricitet, renhållning och andra nödvändiga tjänster"	""	"service, tjänster, system och policies för beskydd av medborgare (e545)"	""	""
"e5300"	"e530"	"Nyttighetsservice och tjänster"	""	"Service, tjänster och program som till befolkningen tillhandahåller nödvändig energi (t.ex. bränsle och elektricitet), renhållning, vatten, och andra väsentliga tjänster, t.ex. återuppbyggnadsstöd i nödsituationer, nödvändiga tjänster för boende och kommersiella konsumenter, innefattande personer som ger dessa tjänster"	""	""	""	""
"e5301"	"e530"	"Nyttighetssystem"	""	"Administrativa kontroll- och tillsynssystem som styr tillhandahållandet av nyttighetstjänster såsom hälso-, sjukvårds- och säkerhetsstyrelser, konsumentråd"	""	""	""	""
"e5302"	"e530"	"Nyttighetspolicies"	""	"Lagstiftning, föreskrifter och standarder som styr tillhandahållandet av nyttighetsservice och tjänster såsom hälso- och säkerhetsstandarder som styr leverans och försörjning av vatten och bränsle, renhållningskonventioner i samhällen, policies för andra väsentliga katastrofinsatser och försörjning under tider av brist eller naturkatastrofer"	""	""	""	""
"e5308"	"e530"	"Service, tjänster, system och policies för allmänna nyttigheter, andra specificerade"	""	""	""	""	""	""
"e5309"	"e530"	"Service, tjänster, system och policies för allmänna nyttigheter, ospecificerade"	""	""	""	""	""	""
"e535"	"e5"	"Service, tjänster, system och policies för kommunikation"	"Samhällstjänster och regelverk för kommunikation"	"Service, tjänster, system och policies som syftar till att överbringa och utbyta information"	""	""	""	""
"e5350"	"e535"	"Kommunikationsservice och kommunikationstjänster"	""	"Service, tjänster och program som syftar till att överbringa information genom olika metoder innefattande telefon, fax, post, elektronisk post och andra datorbaserade system, t.ex. telefonförmedlingstjänster, teletypetjänster, teletexttjänster, internettjänster, innefattande personer som ger dessa tjänster"	""	"massmedieservice och massmedietjänster (e5600)"	""	""
"e5351"	"e535"	"Kommunikationssystem"	""	"Administrativa kontroll- och tillsynssystem såsom telekommunikationsmyndigheter och andra liknande organisationer som styr överföring av information genom olika metoder innefattande telefon, fax, post, elektronisk post och datorbaserade system"	""	""	""	""
"e5352"	"e535"	"Kommunikationspolicies"	""	"Lagstiftning, föreskrifter och standarder som styr överförandet av information genom ett antal olika metoder innefattande telefon, fax, post, elektronisk post och datorbaserade system såsom rätt att få tillgång till kommunikationstjänster, krav för att inneha en postadress, standarder för tillhandahållande av telekommunikation"	""	""	""	""
"e5358"	"e535"	"Service, tjänster, system och policies för kommunikation, andra specificerade"	""	""	""	""	""	""
"e5359"	"e535"	"Service, tjänster, system och policies för kommunikation, ospecificerade"	""	""	""	""	""	""
"e540"	"e5"	"Service, tjänster, system och policies för transport"	"Samhällstjänster och regelverk för transport"	"Service, tjänster och program som syftar till att förflytta personer eller varor från en plats till en annan"	""	""	""	""
"e5400"	"e540"	"Transportservice och transporttjänster"	""	"Service, tjänster och program som syftar till att förflytta personer eller varor på vägar, stigar, spår, i luft eller på vatten, med offentlig eller privat transport, innefattande personer som ger dessa tjänster"	""	"produkter och teknik för personlig förflyttning och transport inomhus och utomhus (e120)"	""	""
"e5401"	"e540"	"Transportsystem"	""	"Administrativa kontroll- och tillsynssystem som styr förflyttning av personer och varor på väg, stig, spår, i luft eller på vatten såsom system för att bestämma rätten att föra fordon, implementering och övervakning av standarder för hälsa och säkerhet som sammanhänger med användningen av olika transportslag"	""	"service, tjänster, system och policies inom socialförsäkring (e570)"	""	""
"e5402"	"e540"	"Transportpolicies"	""	"Lagstiftning, föreskrifter och standarder som styr förflyttningen av personer och varor på väg, stigar, spår, i luft eller på vatten, såsom regler och policies för transportplanering, policies för tillhandahållande och tillgång till allmänna kommunikationer"	""	""	""	""
"e5408"	"e540"	"Service, tjänster, system och policies för transport, andra specificerade"	""	""	""	""	""	""
"e5409"	"e540"	"Service, tjänster, system och policies för transport, ospecificerade"	""	""	""	""	""	""
"e545"	"e5"	"Service, tjänster, system och policies för beskydd av medborgare"	"Samhällstjänster och regelverk för beskydd av medborgare"	"Service, tjänster, system och policies som syftar till att garantera säkerhet för människor och egendom"	""	"service, tjänster, system och policies för allmänna nyttigheter (e530)"	""	""
"e5450"	"e545"	"Service och tjänster för beskydd av medborgare"	""	"Service, tjänster och program som är organiserade av samhället och som syftar till att garantera säkerhet för människor och egendom såsom brandförsvar, polis, räddningstjänst och ambulanstjänst, innefattande personer som ger dessa tjänster"	""	""	""	""
"e5451"	"e545"	"System för skydd av medborgare"	""	"Administrativa kontroll- och tillsynssystem som styr garanterandet av säkerhet för människor och egendom såsom system genom vilka man organiserar tillgång till polis, brandskydd, katastrof- och ambulanstjänst"	""	""	""	""
"e5452"	"e545"	"Policies för skydd av medborgare"	""	"Lagstiftning, föreskrifter och standarder som styr garanterandet av säkerhet för människor och egendom såsom policies som styr tillhandahållandet av polis, brandskydd, katastrof- och ambulanstjänst"	""	""	""	""
"e5458"	"e545"	"Service, tjänster, system och policies för skydd av medborgare, andra specificerade"	""	""	""	""	""	""
"e5459"	"e545"	"Service, tjänster, system och policies för skydd av medborgare, ospecificerade"	""	""	""	""	""	""
"e550"	"e5"	"Service, tjänster, system och policies gällande lagreglering"	"Samhällstjänster och regelverk gällande lagreglering"	"Service, tjänster, system och policies gällande ett lands lagstiftning"	""	""	""	""
"e5500"	"e550"	"Service och tjänster gällande lagreglering"	""	"Service, tjänster och program som syftar till att ge staten auktoritet som den är definierad i lag, såsom domstolar, tribunaler och andra organ för förhör, medling i civila rättstvister, rättegångar vid brott, advokatrepresentation, notariattjänster och resurser för bestraffning och kriminalvård, innefattande personer som ger dessa tjänster"	""	""	""	""
"e5501"	"e550"	"System gällande lagreglering"	""	"Administrativa kontroll- och tillsynssystem som styr den rättsliga administrationen såsom system för att implementera och övervaka formella regler (t.ex. lagar, föreskrifter, sedvanerätt, religiös lag, internationella lagar och konventioner)"	""	""	""	""
"e5502"	"e550"	"Policies gällande lagreglering"	""	"Lagstiftning, föreskrifter och standarder såsom lagar, föreskrifter, sedvanerätt, religiös lag, internationella lagar och konventioner som styr den rättsliga administrationen"	""	""	""	""
"e5508"	"e550"	"Service, tjänster, system och policies gällande lagreglering, andra specificerade"	""	""	""	""	""	""
"e5509"	"e550"	"Service, tjänster, system och policies gällande lagreglering, ospecificerade"	""	""	""	""	""	""
"e555"	"e5"	"Service, tjänster, system och policies i sammanslutningar och organisationer"	"Samhällstjänster och regelverk i sammanslutningar och organisationer"	"Service, tjänster, system och policies som ges av grupper av människor som slutit sig samman för att syssla med gemensamma, icke-kommersiella intressen, ofta med ett anknutet medlemskap"	""	""	""	""
"e5550"	"e555"	"Service och tjänster i sammanslutningar och organisationer"	""	"Service, tjänster och program som ges av människor som slutit sig samman för att driva gemensamma, icke-kommersiella intressen med människor som har samma intressen och där tillhandahållandet av sådana tjänster kan knytas till medlemskap såsom föreningar och organisationer som erbjuder rekreation och fritidstjänster, sportsliga, kulturella, religiösa tjänster och tjänster för ömsesidig hjälp"	""	""	""	""
"e5551"	"e555"	"System i sammanslutningar och organisationer"	""	"Administrativa kontroll- och tillsynssystem som styr människors relationer och aktiviteter när de kommer tillsammans för att etablera och driva föreningar och organisationer med gemensamma, icke-kommersiella intressen"	""	""	""	""
"e5552"	"e555"	"Policies i sammanslutningar och organisationer"	""	"Lagstiftning, föreskrifter och standarder som styr människors relationer och aktiviteter när de kommer tillsammans med gemensamma, icke kommersiella intressen såsom policies som styr bildandet och drivandet av föreningar och organisationer såsom organisationer för ömsesidig hjälp, rekreations- och fritidsorganisationer, kulturella och religiösa sammanslutningar och icke vinstdrivande organisationer"	""	""	""	""
"e5558"	"e555"	"Service, tjänster, system och policies i sammanslutningar och organisationer, andra specificerade"	""	""	""	""	""	""
"e5559"	"e555"	"Service, tjänster, system och policies i sammanslutningar och organisationer, ospecificerade"	""	""	""	""	""	""
"e560"	"e5"	"Service, tjänster, system och policies inom massmedia"	"Samhällstjänster och regelverk inom massmedia"	"Service, tjänster, system och policies som syftar till att tillhandahålla masskommunikation genom radio, television, tidningar och internet"	""	""	""	""
"e5600"	"e560"	"Massmedieservice och massmedietjänster"	""	"Service, tjänster och program som syftar till att tillhandahålla masskommunikation såsom radio, television, löpsedelstjänster, pressbevakningstjänster, tidningar, punktskriftstjänster och databaserad masskommunikation (hemsidor, internet), innefattande personer som ger dessa tjänster"	""	"kommunikationsservice och kommunikationstjänster (e5350)"	""	""
"e5601"	"e560"	"Mediesystem"	""	"Administrativa kontroll- och tillsynssystem som styr tillhandahållandet av nyheter och information till allmänheten såsom standarder som styr innehåll, distribution, utbredning, tillgång till och metoder för att kommunicera via radio, television, pressbevakningstjänster, tidningar och databaserad masskommunikation (hemsidor, internet)"	"krav på att ge sammanfattningar på television, punktskriftsupplagor av dagstidningar eller andra publikationer samt teletextade radioöverföringar"	"kommunikationssystem (e5351)"	""	""
"e5602"	"e560"	"Mediepolicies"	""	"Lagstiftning, föreskrifter och standarder som styr tillhandahållandet av nyheter och information till allmänheten såsom policies som styr innehåll, distribution, utbredning, tillgång till och metoder för att kommunicera via radio, television, pressbevakningssystem, tidningar och databaserad masskommunikation (hemsidor, internet)"	""	"kommunikationspolicies (e5352)"	""	""
"e5608"	"e560"	"Service, tjänster, system och policies inom media, andra specificerade"	""	""	""	""	""	""
"e5609"	"e560"	"Service, tjänster, system och policies inom media, ospecificerade"	""	""	""	""	""	""
