"Kod"	"Överordnad kod"	"Titel"	"Beskrivning"	"Exempel"	"Innefattar"	"Utesluter"	"Anmärkning"	"Relaterad ICF-kod"	"Relaterad ICD-10-SE-kod"
"VM076"	"VM0"	"SVF sköldkörtelcancer - avslut av SVF innan start av behandling, patientens val"	""	""	""	""	""	""	""
"VM078"	"VM0"	"SVF sköldkörtelcancer - avslut av SVF innan start av behandling, misstanke om cancer avskrivs"	"Misstanke om cancer avskrivs eller annan diagnos än cancer eller ingen diagnos ställs"	""	""	""	""	""	""
"VM090"	"VM0"	"SVF sköldkörtelcancer - överflyttad till annat landsting/annan region"	"SVF fortsätter i annat landsting / annan region"	""	""	""	""	""	""
"VM091"	"VM0"	"SVF sköldkörtelcancer - mottagen från annat landsting/annan region"	"SVF påbörjat i annat landsting / annan region"	""	""	""	""	""	""
"VN"	"V"	"Lymfom, myelom och leukemi"	""	""	""	""	""	""	""
"VN0"	"VN"	"SVF lymfom"	""	""	""	""	""	""	"C81-C86"
"VN005"	"VN0"	"SVF lymfom - remissbeslut vid misstanke om cancer"	"Beslut att skicka remiss (vårdbegäran) för bedömning om välgrundad misstanke föreligger"	""	""	""	""	""	""
"VN010"	"VN0"	"SVF lymfom - beslut välgrundad misstanke om cancer"	"Start av SVF"	""	""	""	""	""	""
"VN015"	"VN0"	"SVF lymfom - välgrundad misstanke om cancer - remiss mottagen"	"Remiss mottagen i specialiserad vård"	""	""	""	""	""	""
"VN020"	"VN0"	"SVF lymfom - välgrundad misstanke om cancer - remiss bedömd"	"Remiss bedömd av koordinator/läkare i specialiserad vård"	""	""	""	""	""	""
"VN022"	"VN0"	"SVF lymfom - kirurgisk åtgärd för diagnostik"	"T.ex. excision för diagnostik"	""	""	""	""	""	""
"VN025"	"VN0"	"SVF lymfom - första besök i specialiserad vård"	"Första besök i specialiserad vård, avser utredning eller bedömning"	""	""	""	""	""	""
"VN035"	"VN0"	"SVF lymfom - multidisciplinär konferens"	""	""	""	""	""	""	""
"VN040"	"VN0"	"SVF lymfom - information om diagnos/utredningsresultat"	"Patienten informerad om diagnos/utredningsresultat"	""	""	""	""	""	""
"VN043"	"VN0"	"SVF lymfom - behandlingsbeslut efter basutredning"	"Behandlingsbeslut i samråd med patienten"	""	""	""	""	""	""
"VN044"	"VN0"	"SVF lymfom - behandlingsbeslut efter utökad basutredning"	"Behandlingsbeslut i samråd med patienten"	""	""	""	""	""	""
"VN050"	"VN0"	"SVF lymfom - start av första behandling, kirurgi"	"Innefattar kurativ eller palliativ kirurgisk behandling"	""	""	""	""	""	""
"VN052"	"VN0"	"SVF lymfom - start av första behandling, läkemedel"	"Innefattar kurativ eller palliativ cancerspecifik läkemedelsbehandling"	""	""	""	""	""	""
"VN054"	"VN0"	"SVF lymfom - start av första behandling, strålning"	"Innefattar kurativ eller palliativ strålbehandling"	""	""	""	""	""	""
"VN058"	"VN0"	"SVF lymfom - start av första behandling, palliativ"	"Avser symtomlindrande behandling"	""	""	""	""	""	""
"VN059"	"VN0"	"SVF lymfom - start av första behandling, annan"	""	""	""	""	""	""	""
"VN060"	"VN0"	"SVF lymfom - beslut om exspektans"	"Innebär exspektans med övervakning, tills vidare utan behandling"	""	""	""	""	""	""
"VN070"	"VN0"	"SVF lymfom - avslut av SVF innan start av behandling, kriterier för välgrundad misstanke ej uppfyllda"	"T.ex. anmäld till SVF på felaktig grund, ingen utredning startas"	""	""	""	""	""	""
"VN072"	"VN0"	"SVF lymfom - avslut av SVF innan start av behandling, annan cancer"	"Annan cancer, annat SVF startas om sådant finns"	""	""	""	""	""	""
"VN073"	"VN0"	"SVF lymfom - ingen ytterligare åtgärd"	"Används för enstaka SVF. För användning se beskrivning av respektive vårdförlopp och kodningsvägledning"	""	""	""	""	""	""
"VN074"	"VN0"	"SVF lymfom - avslut av SVF innan start av behandling, andra medicinska skäl"	"Andra medicinska skäl, efter läkarbedömning eller patienten avlider innan start av behandling"	""	""	""	""	""	""
"VN076"	"VN0"	"SVF lymfom - avslut av SVF innan start av behandling, patientens val"	""	""	""	""	""	""	""
"VN078"	"VN0"	"SVF lymfom - avslut av SVF innan start av behandling, misstanke om cancer avskrivs"	"Misstanke om cancer avskrivs eller annan diagnos än cancer eller ingen diagnos ställs"	""	""	""	""	""	""
"VN090"	"VN0"	"SVF lymfom - överflyttad till annat landsting/annan region"	"SVF fortsätter i annat landsting / annan region"	""	""	""	""	""	""
"VN091"	"VN0"	"SVF lymfom - mottagen från annat landsting/annan region"	"SVF påbörjat i annat landsting / annan region"	""	""	""	""	""	""
"VN2"	"VN"	"SVF myelom"	""	""	""	""	""	""	"C90"
"VN205"	"VN2"	"SVF myelom - remissbeslut vid misstanke om cancer"	"Beslut att skicka remiss (vårdbegäran) för bedömning om välgrundad misstanke föreligger"	""	""	""	""	""	""
"VN210"	"VN2"	"SVF myelom - beslut välgrundad misstanke om cancer"	"Start av SVF"	""	""	""	""	""	""
"VN215"	"VN2"	"SVF myelom - välgrundad misstanke om cancer - remiss mottagen"	"Remiss mottagen i specialiserad vård"	""	""	""	""	""	""
"VN220"	"VN2"	"SVF myelom - välgrundad misstanke om cancer - remiss bedömd"	"Remiss bedömd av koordinator/läkare i specialiserad vård"	""	""	""	""	""	""
"VN222"	"VN2"	"SVF myelom - kirurgisk åtgärd för diagnostik"	"T.ex. excision för diagnostik"	""	""	""	""	""	""
"VN225"	"VN2"	"SVF myelom - första besök i specialiserad vård"	"Första besök i specialiserad vård, avser utredning eller bedömning"	""	""	""	""	""	""
"VN235"	"VN2"	"SVF myelom - multidisciplinär konferens"	""	""	""	""	""	""	""
"VN240"	"VN2"	"SVF myelom - information om diagnos/utredningsresultat"	"Patienten informerad om diagnos/utredningsresultat"	""	""	""	""	""	""
"VN243"	"VN2"	"SVF myelom - behandlingsbeslut efter basutredning"	"Behandlingsbeslut i samråd med patienten"	""	""	""	""	""	""
"VN244"	"VN2"	"SVF myelom - behandlingsbeslut efter utökad basutredning"	"Behandlingsbeslut i samråd med patienten"	""	""	""	""	""	""
"VN250"	"VN2"	"SVF myelom - start av första behandling, kirurgi"	"Innefattar kurativ eller palliativ kirurgisk behandling"	""	""	""	""	""	""
"VN252"	"VN2"	"SVF myelom - start av första behandling, läkemedel"	"Innefattar kurativ eller palliativ cancerspecifik läkemedelsbehandling"	""	""	""	""	""	""
"VN254"	"VN2"	"SVF myelom - start av första behandling, strålning"	"Innefattar kurativ eller palliativ strålbehandling"	""	""	""	""	""	""
"VN258"	"VN2"	"SVF myelom - start av första behandling, palliativ"	"Avser symtomlindrande behandling"	""	""	""	""	""	""
"VN259"	"VN2"	"SVF myelom - start av första behandling, annan"	""	""	""	""	""	""	""
"VN260"	"VN2"	"SVF myelom - beslut om exspektans"	"Innebär exspektans med övervakning, tills vidare utan behandling"	""	""	""	""	""	""
"VN270"	"VN2"	"SVF myelom - avslut av SVF innan start av behandling, kriterier för välgrundad misstanke ej uppfyllda"	"T.ex. anmäld till SVF på felaktig grund, ingen utredning startas"	""	""	""	""	""	""
"VN272"	"VN2"	"SVF myelom - avslut av SVF innan start av behandling, annan cancer"	"Annan cancer, annat SVF startas om sådant finns"	""	""	""	""	""	""
"VN273"	"VN2"	"SVF myelom - ingen ytterligare åtgärd"	"Används för enstaka SVF. För användning se beskrivning av respektive vårdförlopp och kodningsvägledning"	""	""	""	""	""	""
"VN274"	"VN2"	"SVF myelom - avslut av SVF innan start av behandling, andra medicinska skäl"	"Andra medicinska skäl, efter läkarbedömning eller patienten avlider innan start av behandling"	""	""	""	""	""	""
"VN276"	"VN2"	"SVF myelom - avslut av SVF innan start av behandling, patientens val"	""	""	""	""	""	""	""
"VN278"	"VN2"	"SVF myelom - avslut av SVF innan start av behandling, misstanke om cancer avskrivs"	"Misstanke om cancer avskrivs eller annan diagnos än cancer eller ingen diagnos ställs"	""	""	""	""	""	""
"VN290"	"VN2"	"SVF myelom - överflyttad till annat landsting/annan region"	"SVF fortsätter i annat landsting / annan region"	""	""	""	""	""	""
"VN291"	"VN2"	"SVF myelom - mottagen från annat landsting/annan region"	"SVF påbörjat i annat landsting / annan region"	""	""	""	""	""	""
"VN4"	"VN"	"SVF akut lymfatisk leukemi"	""	""	""	""	""	""	"C91"
"VN405"	"VN4"	"SVF akut lymfatisk leukemi - remissbeslut vid misstanke om cancer"	"Beslut att skicka remiss (vårdbegäran) för bedömning om välgrundad misstanke föreligger"	""	""	""	""	""	""
"VN410"	"VN4"	"SVF akut lymfatisk leukemi - beslut välgrundad misstanke om cancer"	"Start av SVF"	""	""	""	""	""	""
"VN415"	"VN4"	"SVF akut lymfatisk leukemi - välgrundad misstanke om cancer - remiss mottagen"	"Remiss mottagen i specialiserad vård"	""	""	""	""	""	""
"VN420"	"VN4"	"SVF akut lymfatisk leukemi - välgrundad misstanke om cancer - remiss bedömd"	"Remiss bedömd av koordinator/läkare i specialiserad vård"	""	""	""	""	""	""
"VN422"	"VN4"	"SVF akut lymfatisk leukemi - kirurgisk åtgärd för diagnostik"	"T.ex. excision för diagnostik"	""	""	""	""	""	""
"VN425"	"VN4"	"SVF akut lymfatisk leukemi - första besök i specialiserad vård"	"Första besök i specialiserad vård, avser utredning eller bedömning"	""	""	""	""	""	""
"VN435"	"VN4"	"SVF akut lymfatisk leukemi - multidisciplinär konferens"	""	""	""	""	""	""	""
"VN440"	"VN4"	"SVF akut lymfatisk leukemi - information om diagnos/utredningsresultat"	"Patienten informerad om diagnos/utredningsresultat"	""	""	""	""	""	""
"VN443"	"VN4"	"SVF akut lymfatisk leukemi - behandlingsbeslut efter basutredning"	"Behandlingsbeslut i samråd med patienten"	""	""	""	""	""	""
"VN444"	"VN4"	"SVF akut lymfatisk leukemi - behandlingsbeslut efter utökad basutredning"	"Behandlingsbeslut i samråd med patienten"	""	""	""	""	""	""
"VN450"	"VN4"	"SVF akut lymfatisk leukemi - start av första behandling, kirurgi"	"Innefattar kurativ eller palliativ kirurgisk behandling"	""	""	""	""	""	""
"VN452"	"VN4"	"SVF akut lymfatisk leukemi - start av första behandling, läkemedel"	"Innefattar kurativ eller palliativ cancerspecifik läkemedelsbehandling"	""	""	""	""	""	""
"VN454"	"VN4"	"SVF akut lymfatisk leukemi - start av första behandling, strålning"	"Innefattar kurativ eller palliativ strålbehandling"	""	""	""	""	""	""
"VN458"	"VN4"	"SVF akut lymfatisk leukemi - start av första behandling, palliativ"	"Avser symtomlindrande behandling"	""	""	""	""	""	""
"VN459"	"VN4"	"SVF akut lymfatisk leukemi - start av första behandling, annan"	""	""	""	""	""	""	""
"VN460"	"VN4"	"SVF akut lymfatisk leukemi - beslut om exspektans"	"Innebär exspektans med övervakning, tills vidare utan behandling"	""	""	""	""	""	""
"VN470"	"VN4"	"SVF akut lymfatisk leukemi - avslut av SVF innan start av behandling, kriterier för välgrundad misstanke ej uppfyllda"	"T.ex. anmäld till SVF på felaktig grund, ingen utredning startas"	""	""	""	""	""	""
"VN472"	"VN4"	"SVF akut lymfatisk leukemi - avslut av SVF innan start av behandling, annan cancer"	"Annan cancer, annat SVF startas om sådant finns"	""	""	""	""	""	""
"VN473"	"VN4"	"SVF akut lymfatisk leukemi - ingen ytterligare åtgärd"	"Används för enstaka SVF. För användning se beskrivning av respektive vårdförlopp och kodningsvägledning"	""	""	""	""	""	""
"VN474"	"VN4"	"SVF akut lymfatisk leukemi - avslut av SVF innan start av behandling, andra medicinska skäl"	"Andra medicinska skäl, efter läkarbedömning eller patienten avlider innan start av behandling"	""	""	""	""	""	""
"VN476"	"VN4"	"SVF akut lymfatisk leukemi - avslut av SVF innan start av behandling, patientens val"	""	""	""	""	""	""	""
"VN478"	"VN4"	"SVF akut lymfatisk leukemi - avslut av SVF innan start av behandling, misstanke om cancer avskrivs"	"Misstanke om cancer avskrivs eller annan diagnos än cancer eller ingen diagnos ställs"	""	""	""	""	""	""
"VN490"	"VN4"	"SVF akut lymfatisk leukemi - överflyttad till annat landsting/annan region"	"SVF fortsätter i annat landsting / annan region"	""	""	""	""	""	""
"VN491"	"VN4"	"SVF akut lymfatisk leukemi - mottagen från annat landsting/annan region"	"SVF påbörjat i annat landsting / annan region"	""	""	""	""	""	""
"VN5"	"VN"	"SVF kronisk lymfatisk leukemi"	""	""	""	""	""	""	"C91"
"VN505"	"VN5"	"SVF kronisk lymfatisk leukemi - remissbeslut vid misstanke om cancer"	"Beslut att skicka remiss (vårdbegäran) för bedömning om välgrundad misstanke föreligger"	""	""	""	""	""	""
"VN510"	"VN5"	"SVF kronisk lymfatisk leukemi - beslut välgrundad misstanke om cancer"	"Start av SVF"	""	""	""	""	""	""
"VN515"	"VN5"	"SVF kronisk lymfatisk leukemi - välgrundad misstanke om cancer - remiss mottagen"	"Remiss mottagen i specialiserad vård"	""	""	""	""	""	""
"VN520"	"VN5"	"SVF kronisk lymfatisk leukemi - välgrundad misstanke om cancer - remiss bedömd"	"Remiss bedömd av koordinator/läkare i specialiserad vård"	""	""	""	""	""	""
"VN522"	"VN5"	"SVF kronisk lymfatisk leukemi - kirurgisk åtgärd för diagnostik"	"T.ex. excision för diagnostik"	""	""	""	""	""	""
"VN525"	"VN5"	"SVF kronisk lymfatisk leukemi - första besök i specialiserad vård"	"Första besök i specialiserad vård, avser utredning eller bedömning"	""	""	""	""	""	""
"VN535"	"VN5"	"SVF kronisk lymfatisk leukemi - multidisciplinär konferens"	""	""	""	""	""	""	""
"VN540"	"VN5"	"SVF kronisk lymfatisk leukemi - information om diagnos/utredningsresultat"	"Patienten informerad om diagnos/utredningsresultat"	""	""	""	""	""	""
"VN543"	"VN5"	"SVF kronisk lymfatisk leukemi - behandlingsbeslut efter basutredning"	"Behandlingsbeslut i samråd med patienten"	""	""	""	""	""	""
"VN544"	"VN5"	"SVF kronisk lymfatisk leukemi - behandlingsbeslut efter utökad basutredning"	"Behandlingsbeslut i samråd med patienten"	""	""	""	""	""	""
"VN550"	"VN5"	"SVF kronisk lymfatisk leukemi - start av första behandling, kirurgi"	"Innefattar kurativ eller palliativ kirurgisk behandling"	""	""	""	""	""	""
"VN552"	"VN5"	"SVF kronisk lymfatisk leukemi - start av första behandling, läkemedel"	"Innefattar kurativ eller palliativ cancerspecifik läkemedelsbehandling"	""	""	""	""	""	""
"VN554"	"VN5"	"SVF kronisk lymfatisk leukemi - start av första behandling, strålning"	"Innefattar kurativ eller palliativ strålbehandling"	""	""	""	""	""	""
"VN558"	"VN5"	"SVF kronisk lymfatisk leukemi - start av första behandling, palliativ"	"Avser symtomlindrande behandling"	""	""	""	""	""	""
"VN559"	"VN5"	"SVF kronisk lymfatisk leukemi - start av första behandling, annan"	""	""	""	""	""	""	""
"VN560"	"VN5"	"SVF kronisk lymfatisk leukemi - beslut om exspektans"	"Innebär exspektans med övervakning, tills vidare utan behandling"	""	""	""	""	""	""
"VN570"	"VN5"	"SVF kronisk lymfatisk leukemi - avslut av SVF innan start av behandling, kriterier för välgrundad misstanke ej uppfyllda"	"T.ex. anmäld till SVF på felaktig grund, ingen utredning startas"	""	""	""	""	""	""
"VN572"	"VN5"	"SVF kronisk lymfatisk leukemi - avslut av SVF innan start av behandling, annan cancer"	"Annan cancer, annat SVF startas om sådant finns"	""	""	""	""	""	""
"VN573"	"VN5"	"SVF kronisk lymfatisk leukemi - ingen ytterligare åtgärd"	"Används för enstaka SVF. För användning se beskrivning av respektive vårdförlopp och kodningsvägledning"	""	""	""	""	""	""
"VN574"	"VN5"	"SVF kronisk lymfatisk leukemi - avslut av SVF innan start av behandling, andra medicinska skäl"	"Andra medicinska skäl, efter läkarbedömning eller patienten avlider innan start av behandling"	""	""	""	""	""	""
"VN576"	"VN5"	"SVF kronisk lymfatisk leukemi - avslut av SVF innan start av behandling, patientens val"	""	""	""	""	""	""	""
"VN578"	"VN5"	"SVF kronisk lymfatisk leukemi - avslut av SVF innan start av behandling, misstanke om cancer avskrivs"	"Misstanke om cancer avskrivs eller annan diagnos än cancer eller ingen diagnos ställs"	""	""	""	""	""	""
"VN590"	"VN5"	"SVF kronisk lymfatisk leukemi - överflyttad till annat landsting/annan region"	"SVF fortsätter i annat landsting / annan region"	""	""	""	""	""	""
"VN591"	"VN5"	"SVF kronisk lymfatisk leukemi - mottagen från annat landsting/annan region"	"SVF påbörjat i annat landsting / annan region"	""	""	""	""	""	""
"VN6"	"VN"	"SVF akut myeloisk leukemi"	""	""	""	""	""	""	"C92"
"VN605"	"VN6"	"SVF akut myeloisk leukemi - remissbeslut vid misstanke om cancer"	"Beslut att skicka remiss (vårdbegäran) för bedömning om välgrundad misstanke föreligger"	""	""	""	""	""	""
"VN610"	"VN6"	"SVF akut myeloisk leukemi - beslut välgrundad misstanke om cancer"	"Start av SVF"	""	""	""	""	""	""
"VN615"	"VN6"	"SVF akut myeloisk leukemi - välgrundad misstanke om cancer - remiss mottagen"	"Remiss mottagen i specialiserad vård"	""	""	""	""	""	""
"VN620"	"VN6"	"SVF akut myeloisk leukemi - välgrundad misstanke om cancer - remiss bedömd"	"Remiss bedömd av koordinator/läkare i specialiserad vård"	""	""	""	""	""	""
"VN622"	"VN6"	"SVF akut myeloisk leukemi - kirurgisk åtgärd för diagnostik"	"T.ex. excision för diagnostik"	""	""	""	""	""	""
"VN625"	"VN6"	"SVF akut myeloisk leukemi - första besök i specialiserad vård"	"Första besök i specialiserad vård, avser utredning eller bedömning"	""	""	""	""	""	""
"VN635"	"VN6"	"SVF akut myeloisk leukemi - multidisciplinär konferens"	""	""	""	""	""	""	""
"VN640"	"VN6"	"SVF akut myeloisk leukemi - information om diagnos/utredningsresultat"	"Patienten informerad om diagnos/utredningsresultat"	""	""	""	""	""	""
"VN643"	"VN6"	"SVF akut myeloisk leukemi - behandlingsbeslut efter basutredning"	"Behandlingsbeslut i samråd med patienten"	""	""	""	""	""	""
"VN644"	"VN6"	"SVF akut myeloisk leukemi - behandlingsbeslut efter utökad basutredning"	"Behandlingsbeslut i samråd med patienten"	""	""	""	""	""	""
"VN650"	"VN6"	"SVF akut myeloisk leukemi - start av första behandling, kirurgi"	"Innefattar kurativ eller palliativ kirurgisk behandling"	""	""	""	""	""	""
"VN652"	"VN6"	"SVF akut myeloisk leukemi - start av första behandling, läkemedel"	"Innefattar kurativ eller palliativ cancerspecifik läkemedelsbehandling"	""	""	""	""	""	""
"VN654"	"VN6"	"SVF akut myeloisk leukemi - start av första behandling, strålning"	"Innefattar kurativ eller palliativ strålbehandling"	""	""	""	""	""	""
"VN658"	"VN6"	"SVF akut myeloisk leukemi - start av första behandling, palliativ"	"Avser symtomlindrande behandling"	""	""	""	""	""	""
"VN659"	"VN6"	"SVF akut myeloisk leukemi - start av första behandling, annan"	""	""	""	""	""	""	""
"VN660"	"VN6"	"SVF akut myeloisk leukemi - beslut om exspektans"	"Innebär exspektans med övervakning, tills vidare utan behandling"	""	""	""	""	""	""
"VN670"	"VN6"	"SVF akut myeloisk leukemi - avslut av SVF innan start av behandling, kriterier för välgrundad misstanke ej uppfyllda"	"T.ex. anmäld till SVF på felaktig grund, ingen utredning startas"	""	""	""	""	""	""
"VN672"	"VN6"	"SVF akut myeloisk leukemi - avslut av SVF innan start av behandling, annan cancer"	"Annan cancer, annat SVF startas om sådant finns"	""	""	""	""	""	""
"VN673"	"VN6"	"SVF akut myeloisk leukemi - ingen ytterligare åtgärd"	"Används för enstaka SVF. För användning se beskrivning av respektive vårdförlopp och kodningsvägledning"	""	""	""	""	""	""
"VN674"	"VN6"	"SVF akut myeloisk leukemi - avslut av SVF innan start av behandling, andra medicinska skäl"	"Andra medicinska skäl, efter läkarbedömning eller patienten avlider innan start av behandling"	""	""	""	""	""	""
"VN676"	"VN6"	"SVF akut myeloisk leukemi - avslut av SVF innan start av behandling, patientens val"	""	""	""	""	""	""	""
"VN678"	"VN6"	"SVF akut myeloisk leukemi - avslut av SVF innan start av behandling, misstanke om cancer avskrivs"	"Misstanke om cancer avskrivs eller annan diagnos än cancer eller ingen diagnos ställs"	""	""	""	""	""	""
"VN690"	"VN6"	"SVF akut myeloisk leukemi - överflyttad till annat landsting/annan region"	"SVF fortsätter i annat landsting / annan region"	""	""	""	""	""	""
"VN691"	"VN6"	"SVF akut myeloisk leukemi - mottagen från annat landsting/annan region"	"SVF påbörjat i annat landsting / annan region"	""	""	""	""	""	""
"VN8"	"VN"	"SVF myeloproliferativa neoplasier (MPN)"	""	""	""	""	""	""	"D45, D47.3"
"VN805"	"VN8"	"SVF myeloproliferativa neoplasier (MPN) - remissbeslut vid misstanke om cancer"	"Beslut att skicka remiss (vårdbegäran) för bedömning om välgrundad misstanke föreligger"	""	""	""	""	""	""
"VN810"	"VN8"	"SVF myeloproliferativa neoplasier (MPN) - beslut välgrundad misstanke om cancer"	"Start av SVF"	""	""	""	""	""	""
"VN815"	"VN8"	"SVF myeloproliferativa neoplasier (MPN) - välgrundad misstanke om cancer - remiss mottagen"	"Remiss mottagen i specialiserad vård"	""	""	""	""	""	""
"VN820"	"VN8"	"SVF myeloproliferativa neoplasier (MPN) - välgrundad misstanke om cancer - remiss bedömd"	"Remiss bedömd av koordinator/läkare i specialiserad vård"	""	""	""	""	""	""
"VN822"	"VN8"	"SVF myeloproliferativa neoplasier (MPN) - kirurgisk åtgärd för diagnostik"	"T.ex. excision för diagnostik"	""	""	""	""	""	""
"VN825"	"VN8"	"SVF myeloproliferativa neoplasier (MPN) - första besök i specialiserad vård"	"Första besök i specialiserad vård, avser utredning eller bedömning"	""	""	""	""	""	""
"VN835"	"VN8"	"SVF myeloproliferativa neoplasier (MPN) - multidisciplinär konferens"	""	""	""	""	""	""	""
"VN840"	"VN8"	"SVF myeloproliferativa neoplasier (MPN) - information om diagnos/utredningsresultat"	"Patienten informerad om diagnos/utredningsresultat"	""	""	""	""	""	""
"VN843"	"VN8"	"SVF myeloproliferativa neoplasier (MPN) - behandlingsbeslut efter basutredning"	"Behandlingsbeslut i samråd med patienten"	""	""	""	""	""	""
"VN844"	"VN8"	"SVF myeloproliferativa neoplasier (MPN) - behandlingsbeslut efter utökad basutredning"	"Behandlingsbeslut i samråd med patienten"	""	""	""	""	""	""
"VN850"	"VN8"	"SVF myeloproliferativa neoplasier (MPN) - start av första behandling, kirurgi"	"Innefattar kurativ eller palliativ kirurgisk behandling"	""	""	""	""	""	""
"VN852"	"VN8"	"SVF myeloproliferativa neoplasier (MPN) - start av första behandling, läkemedel"	"Innefattar kurativ eller palliativ cancerspecifik läkemedelsbehandling"	""	""	""	""	""	""
"VN854"	"VN8"	"SVF myeloproliferativa neoplasier (MPN) - start av första behandling, strålning"	"Innefattar kurativ eller palliativ strålbehandling"	""	""	""	""	""	""
"VN858"	"VN8"	"SVF myeloproliferativa neoplasier (MPN) - start av första behandling, palliativ"	"Avser symtomlindrande behandling"	""	""	""	""	""	""
"VN859"	"VN8"	"SVF myeloproliferativa neoplasier (MPN) - start av första behandling, annan"	""	""	""	""	""	""	""
"VN860"	"VN8"	"SVF myeloproliferativa neoplasier (MPN) - beslut om exspektans"	"Innebär exspektans med övervakning, tills vidare utan behandling"	""	""	""	""	""	""
"VN870"	"VN8"	"SVF myeloproliferativa neoplasier (MPN) - avslut av SVF innan start av behandling, kriterier för välgrundad misstanke ej uppfyllda"	"T.ex. anmäld till SVF på felaktig grund, ingen utredning startas"	""	""	""	""	""	""
"VN872"	"VN8"	"SVF myeloproliferativa neoplasier (MPN) - avslut av SVF innan start av behandling, annan cancer"	"Annan cancer, annat SVF startas om sådant finns"	""	""	""	""	""	""
"VN873"	"VN8"	"SVF myeloproliferativa neoplasier (MPN) - ingen ytterligare åtgärd"	"Används för enstaka SVF. För användning se beskrivning av respektive vårdförlopp och kodningsvägledning"	""	""	""	""	""	""
"VN874"	"VN8"	"SVF myeloproliferativa neoplasier (MPN) - avslut av SVF innan start av behandling, andra medicinska skäl"	"Andra medicinska skäl efter läkarbedömning eller patienten avlider innan start av behandling"	""	""	""	""	""	""
"VN876"	"VN8"	"SVF myeloproliferativa neoplasier (MPN) - avslut av SVF innan start av behandling, patientens val"	""	""	""	""	""	""	""
"VN878"	"VN8"	"SVF myeloproliferativa neoplasier (MPN) - avslut av SVF innan start av behandling, misstanke om cancer avskrivs"	"Misstanke om cancer avskrivs, annan diagnos än cancer eller ingen diagnos ställs"	""	""	""	""	""	""
"VN890"	"VN8"	"SVF myeloproliferativa neoplasier (MPN) - överflyttad till annat landsting/annan region"	"SVF fortsätter i annat landsting/annan region"	""	""	""	""	""	""
"VN891"	"VN8"	"SVF myeloproliferativa neoplasier (MPN) - mottagen från annat landsting/annan region"	"SVF påbörjat i annat landsting/annan region"	""	""	""	""	""	""
"VP"	"V"	"Övrig och misstänkt cancer"	""	""	""	""	""	""	""
"VP5"	"VP"	"SVF skelett- och mjukdelssarkom"	""	""	""	""	""	""	"C45-C49"
"VP505"	"VP5"	"SVF skelett- och mjukdelssarkom - remissbeslut vid misstanke om cancer"	"Beslut att skicka remiss (vårdbegäran) för bedömning om välgrundad misstanke föreligger"	""	""	""	""	""	""
"VP510"	"VP5"	"SVF skelett- och mjukdelssarkom - beslut välgrundad misstanke om cancer"	"Start av SVF"	""	""	""	""	""	""
"VP515"	"VP5"	"SVF skelett- och mjukdelssarkom - välgrundad misstanke om cancer - remiss mottagen"	"Remiss mottagen i specialiserad vård"	""	""	""	""	""	""
"VP520"	"VP5"	"SVF skelett- och mjukdelssarkom - välgrundad misstanke om cancer - remiss bedömd"	"Remiss bedömd av koordinator/läkare i specialiserad vård"	""	""	""	""	""	""
"VP522"	"VP5"	"SVF skelett- och mjukdelssarkom - kirurgisk åtgärd för diagnostik"	"T.ex. excision för diagnostik"	""	""	""	""	""	""
"VP525"	"VP5"	"SVF skelett- och mjukdelssarkom - första besök i specialiserad vård"	"Första besök i specialiserad vård, avser utredning eller bedömning"	""	""	""	""	""	""
"VP535"	"VP5"	"SVF skelett- och mjukdelssarkom - multidisciplinär konferens"	""	""	""	""	""	""	""
"VP540"	"VP5"	"SVF skelett- och mjukdelssarkom - information om diagnos/utredningsresultat"	"Patienten informerad om diagnos/utredningsresultat"	""	""	""	""	""	""
"VP543"	"VP5"	"SVF skelett- och mjukdelssarkom - behandlingsbeslut efter basutredning"	"Behandlingsbeslut i samråd med patienten"	""	""	""	""	""	""
"VP544"	"VP5"	"SVF skelett- och mjukdelssarkom - behandlingsbeslut efter utökad basutredning"	"Behandlingsbeslut i samråd med patienten"	""	""	""	""	""	""
"VP550"	"VP5"	"SVF skelett- och mjukdelssarkom - start av första behandling, kirurgi"	"Innefattar kurativ eller palliativ kirurgisk behandling"	""	""	""	""	""	""
"VP552"	"VP5"	"SVF skelett- och mjukdelssarkom - start av första behandling, läkemedel"	"Innefattar kurativ eller palliativ cancerspecifik läkemedelsbehandling"	""	""	""	""	""	""
"VP554"	"VP5"	"SVF skelett- och mjukdelssarkom - start av första behandling, strålning"	"Innefattar kurativ eller palliativ strålbehandling"	""	""	""	""	""	""
"VP558"	"VP5"	"SVF skelett- och mjukdelssarkom - start av första behandling, palliativ"	"Avser symtomlindrande behandling"	""	""	""	""	""	""
"VP559"	"VP5"	"SVF skelett- och mjukdelssarkom - start av första behandling, annan"	""	""	""	""	""	""	""
"VP560"	"VP5"	"SVF skelett- och mjukdelssarkom - beslut om exspektans"	"Innebär exspektans med övervakning, tills vidare utan behandling"	""	""	""	""	""	""
"VP570"	"VP5"	"SVF skelett- och mjukdelssarkom - avslut av SVF innan start av behandling, kriterier för välgrundad misstanke ej uppfyllda"	"T.ex. anmäld till SVF på felaktig grund, ingen utredning startas"	""	""	""	""	""	""
"VP572"	"VP5"	"SVF skelett- och mjukdelssarkom - avslut av SVF innan start av behandling, annan cancer"	"Annan cancer, annat SVF startas om sådant finns"	""	""	""	""	""	""
